n_chunks, chunks_size, qos, sync, size, ns
3,512,1,0,Huge,207622244
3,512,1,0,Huge,276050667
3,512,1,0,Huge,379097074
3,1024,1,1,Tiny,1294078
3,1024,1,1,Tiny,1170631
3,1024,1,1,Tiny,1052464
3,1024,1,1,Tiny,994713
3,1024,1,1,Tiny,1116162
3,1024,1,1,Small,4436171
3,1024,1,1,Small,4507274
3,1024,1,1,Small,4422880
3,1024,1,1,Small,4529462
3,1024,1,1,Small,4436431
3,1024,1,1,Medium,21135026
3,1024,1,1,Medium,14995813
3,1024,1,1,Medium,14096607
3,1024,1,1,Medium,9593632
3,1024,1,1,Medium,9500047
3,1024,1,1,Large,18476796
3,1024,1,1,Large,20645556
3,1024,1,1,Large,18956200
3,1024,1,1,Large,18235664
3,1024,1,1,Large,22826039
3,1024,1,1,Huge,42247022
3,1024,1,1,Huge,35764454
3,1024,1,1,Huge,33810912
3,1024,1,1,Huge,34297225
3,1024,1,1,Huge,33247869
3,1024,1,0,Tiny,1592478
3,1024,1,0,Tiny,2477468
3,1024,1,0,Tiny,4938545
3,1024,1,0,Tiny,5741144
3,1024,1,0,Tiny,5911788
3,1024,1,0,Small,7533745
3,1024,1,0,Small,6131170
3,1024,1,0,Small,17492460
3,1024,1,0,Small,22526966
3,1024,1,0,Small,27313753
3,1024,1,0,Small,32102563
3,1024,1,0,Small,37101348
3,1024,1,0,Medium,12250278
3,1024,1,0,Medium,22376094
3,1024,1,0,Medium,32607607
3,1024,1,0,Medium,42648828
3,1024,1,0,Medium,52744785
3,1024,1,0,Large,72555388
3,1024,1,0,Large,45702170
3,1024,1,0,Large,72104114
3,1024,1,0,Large,94578168
3,1024,1,0,Large,117990460
3,1024,1,0,Large,138327170
3,1024,1,0,Large,160918598
3,1024,1,0,Huge,41899799
3,1024,1,0,Huge,84783982
3,1024,1,0,Huge,123319728
3,1024,1,0,Huge,163949944
3,1024,1,0,Huge,200402807
3,1024,1,0,Huge,239889679
3,2048,1,1,Tiny,1068336
3,2048,1,1,Tiny,760008
3,2048,1,1,Tiny,751851
3,2048,1,1,Tiny,802721
3,2048,1,1,Tiny,855407
3,2048,1,1,Small,3952603
3,2048,1,1,Small,3970233
3,2048,1,1,Small,3984501
3,2048,1,1,Small,3910467
3,2048,1,1,Small,3883583
3,2048,1,1,Medium,8887574
3,2048,1,1,Medium,6565155
3,2048,1,1,Medium,6888553
3,2048,1,1,Medium,6768683
3,2048,1,1,Medium,7047203
3,2048,1,1,Large,12611736
3,2048,1,1,Large,15801303
3,2048,1,1,Large,13732454
3,2048,1,1,Large,13813328
3,2048,1,1,Large,14097014
3,2048,1,1,Huge,25465813
3,2048,1,1,Huge,25940418
3,2048,1,1,Huge,25545183
3,2048,1,1,Huge,24235532
3,2048,1,1,Huge,24496507
3,2048,1,0,Tiny,1252827
3,2048,1,0,Tiny,2234550
3,2048,1,0,Tiny,3242045
3,2048,1,0,Tiny,3846862
3,2048,1,0,Tiny,4557841
3,2048,1,0,Tiny,4114476
3,2048,1,0,Small,3253787
3,2048,1,0,Small,6031794
3,2048,1,0,Small,12041712
3,2048,1,0,Small,15743807
3,2048,1,0,Small,18501650
3,2048,1,0,Medium,22248279
